Document ID,Image Path,Document Type,Text,X Coordinates,Y Coordinates,Width,Height,Relative Length,Slope,Normalized Coordinates,Category
0,X5QyQarnTvptzmiCAQKRNBWZBCnrZEJ4RV4X4r2tdqCjOnvst5tHbVNWd35wGwHL,estonia_none_idcard_design2,EESTI,"[0.6230469, 0.6640625, 0.66503906, 0.62402344]","[0.69742817, 0.6944024, 0.7170953, 0.720121]",0.04199216,0.0257186,1.632754505,23.23799332,"[(0.00060844423828125, 0.00105511069591528), (0.00064849853515625, 0.0010505331316187595), (0.00064945220703125, 0.0010848642965204235), (0.000609397890625, 0.0010894417549167927)]",User Data
0,X5QyQarnTvptzmiCAQKRNBWZBCnrZEJ4RV4X4r2tdqCjOnvst5tHbVNWd35wGwHL,estonia_none_idcard_design2,VABARIIK,"[0.17089844, 0.3125, 0.3125, 0.17089844]","[0.054462936, 0.057488654, 0.093797274, 0.090771556]",0.14160156,0.039334338,3.59994771,0,"[(0.0001668930078125, 8.239475945537066e-05), (0.00030517578125, 8.697224508320726e-05), (0.00030517578125, 0.0001419020786686838), (0.0001668930078125, 0.0001373245930408472)]",User Data
0,X5QyQarnTvptzmiCAQKRNBWZBCnrZEJ4RV4X4r2tdqCjOnvst5tHbVNWd35wGwHL,estonia_none_idcard_design2,Republic,"[0.08105469, 0.1796875, 0.1796875, 0.08105469]","[0.11043873, 0.11043873, 0.14220877, 0.14220877]",0.09863281,0.03177004,3.104585641,0,"[(7.9154970703125e-05, 0.0001670782602118003), (0.00017547607421875, 0.0001670782602118003), (0.00017547607421875, 0.00021514186081694403), (7.9154970703125e-05, 0.00021514186081694403)]",User Data
0,X5QyQarnTvptzmiCAQKRNBWZBCnrZEJ4RV4X4r2tdqCjOnvst5tHbVNWd35wGwHL,estonia_none_idcard_design2,of,"[0.18457031, 0.20898438, 0.20898438, 0.18457031]","[0.11043873, 0.11043873, 0.14220877, 0.14220877]",0.02441407,0.03177004,0.768462048,0,"[(0.000180244443359375, 0.0001670782602118003), (0.00020408630859375, 0.0001670782602118003), (0.00020408630859375, 0.00021514186081694403), (0.000180244443359375, 0.00021514186081694403)]",User Data
0,X5QyQarnTvptzmiCAQKRNBWZBCnrZEJ4RV4X4r2tdqCjOnvst5tHbVNWd35wGwHL,estonia_none_idcard_design2,Estonia,"[0.21289062, 0.29785156, 0.29785156, 0.21289062]","[0.11043873, 0.11043873, 0.14220877, 0.14220877]",0.08496094,0.03177004,2.674247184,0,"[(0.00020790099609375, 0.0001670782602118003), (0.0002908706640625, 0.0001670782602118003), (0.0002908706640625, 0.00021514186081694403), (0.00020790099609375, 0.00021514186081694403)]",User Data
0,X5QyQarnTvptzmiCAQKRNBWZBCnrZEJ4RV4X4r2tdqCjOnvst5tHbVNWd35wGwHL,estonia_none_idcard_design2,ISIKUTUNNISTUS,"[0.4375, 0.6855469, 0.6855469, 0.4375]","[0.06202723, 0.06656581, 0.10136157, 0.09682299]",0.2480469,0.03933434,6.306115725,0,"[(0.00042724609375, 9.383847201210288e-05), (0.00066947939453125, 0.0001007047049924357), (0.00066947939453125, 0.00015334579425113463), (0.00042724609375, 0.0001464795612708018)]",User Data
0,X5QyQarnTvptzmiCAQKRNBWZBCnrZEJ4RV4X4r2tdqCjOnvst5tHbVNWd35wGwHL,estonia_none_idcard_design2,Identity,"[0.43652344, 0.5214844, 0.5214844, 0.43652344]","[0.11649016, 0.11497731, 0.14977308, 0.15128593]",0.08496096,0.03630862,2.339966653,0,"[(0.000426292421875, 0.0001762332223903177), (0.000509262109375, 0.00017394449319213314), (0.000509262109375, 0.0002265855975794251), (0.000426292421875, 0.0002288743267776097)]",User Data
0,X5QyQarnTvptzmiCAQKRNBWZBCnrZEJ4RV4X4r2tdqCjOnvst5tHbVNWd35wGwHL,estonia_none_idcard_design2,Card,"[0.5263672, 0.57910156, 0.57910156, 0.5263672]","[0.11497731, 0.113464445, 0.14674735, 0.1482602]",0.05273436,0.034795755,1.515540042,0,"[(0.00051403046875, 0.00017394449319213314), (0.0005655288671875, 0.000171655741301059), (0.0005655288671875, 0.00022200809379727685), (0.00051403046875, 0.00022429682299546143)]",User Data
0,X5QyQarnTvptzmiCAQKRNBWZBCnrZEJ4RV4X4r2tdqCjOnvst5tHbVNWd35wGwHL,estonia_none_idcard_design2,PEREKONNANIME,"[0.4111328, 0.5283203, 0.5283203, 0.4111328]","[0.17246597, 0.17397882, 0.19364598, 0.19213313]",0.1171875,0.02118001,5.532929399,0,"[(0.000401496875, 0.0002609167473524962), (0.00051593779296875, 0.0002632054765506808), (0.00051593779296875, 0.0002929591225416036), (0.000401496875, 0.00029067039334341907)]",User Data
0,X5QyQarnTvptzmiCAQKRNBWZBCnrZEJ4RV4X4r2tdqCjOnvst5tHbVNWd35wGwHL,estonia_none_idcard_design2,/,"[0.6953125, 0.7060547, 0.7060547, 0.6953125]","[0.89409983, 0.89409983, 0.9304085, 0.9304085]",0.0107422,0.03630867,0.295857711,0,"[(0.00067901611328125, 0.0013526472465960667), (0.00068950654296875, 0.0013526472465960667), (0.00068950654296875, 0.0014075771558245084), (0.00067901611328125, 0.0014075771558245084)]",User Data
